VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2022-10-01T00:38:35.0000000,2022-10-01T00:51:03.0000000,N,1,256,225,1,2.47,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1,0
2,2022-10-01T01:06:08.0000000,2022-10-01T01:12:33.0000000,N,1,166,152,1,1.96,7.5,0.5,0.5,2.2,0,,0.3,11,1,1,0
2,2022-10-01T00:31:40.0000000,2022-10-01T00:45:15.0000000,N,1,74,262,1,2.43,11.5,0.5,0.5,2,0,,0.3,17.55,1,1,2.75
2,2022-10-01T00:51:12.0000000,2022-10-01T00:58:42.0000000,N,1,74,42,1,2.25,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,0
1,2022-10-01T00:42:58.0000000,2022-10-01T00:54:33.0000000,N,1,74,247,1,0,17.2,0,0.5,0,0,,0.3,18,1,1,0
2,2022-10-01T00:25:52.0000000,2022-10-01T00:35:30.0000000,N,1,134,57,2,4.5,14,0.5,0.5,0,0,,0.3,15.3,2,1,0
2,2022-10-01T00:18:41.0000000,2022-10-01T00:30:43.0000000,N,1,83,7,1,1.65,9.5,0.5,0.5,1.62,0,,0.3,12.42,1,1,0
2,2022-10-01T00:36:22.0000000,2022-10-01T00:52:30.0000000,N,1,33,125,1,3,13.5,0.5,0.5,3.51,0,,0.3,21.06,1,1,2.75
2,2022-10-01T00:10:17.0000000,2022-10-01T00:28:25.0000000,N,5,95,216,1,3.92,25,0,0,0,0,,0.3,25.3,2,2,0
2,2022-10-01T00:22:32.0000000,2022-10-01T00:37:17.0000000,N,5,130,216,1,2.94,20,0,0,0,0,,0.3,20.3,2,2,0
2,2022-10-01T00:35:52.0000000,2022-10-01T00:51:30.0000000,N,1,116,68,2,6.48,20.5,0.5,0.5,4.91,0,,0.3,29.46,1,1,2.75
2,2022-10-01T00:18:51.0000000,2022-10-01T00:23:16.0000000,N,1,166,41,1,0.74,5,0.5,0.5,1.89,0,,0.3,8.19,1,1,0
2,2022-10-01T00:38:49.0000000,2022-10-01T00:44:22.0000000,N,1,42,42,1,1.02,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2022-10-01T00:06:26.0000000,2022-10-01T00:11:10.0000000,N,1,255,255,3,0.64,5,0.5,0.5,1.26,0,,0.3,10.06,1,1,0
2,2022-10-01T00:41:53.0000000,2022-10-01T00:42:22.0000000,N,1,260,260,1,0,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
2,2022-10-01T00:51:43.0000000,2022-10-01T01:03:54.0000000,N,1,260,260,1,1.06,9.5,0.5,0.5,10,0,,0.3,20.8,1,1,0
2,2022-10-01T00:06:54.0000000,2022-10-01T00:15:01.0000000,N,1,7,223,1,1.69,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1,0
2,2022-10-01T01:01:48.0000000,2022-10-01T01:22:26.0000000,N,1,75,235,1,6.03,19.5,0.5,0.5,6,0,,0.3,26.8,1,1,0
2,2022-10-01T00:39:09.0000000,2022-10-01T00:53:20.0000000,N,1,74,69,1,3.61,13.5,0.5,0.5,2.96,0,,0.3,17.76,1,1,0
2,2022-10-01T00:27:42.0000000,2022-10-01T00:37:45.0000000,N,1,75,42,1,2.74,10.5,0.5,0.5,0,0,,0.3,11.8,1,1,0
1,2022-10-01T00:20:00.0000000,2022-10-01T01:00:37.0000000,Y,1,150,29,1,7.1,31.5,0.5,0.5,0,0,,0.3,32.8,2,1,0
2,2022-10-01T00:33:13.0000000,2022-10-01T01:08:42.0000000,N,1,260,63,1,9.95,31.5,0.5,0.5,0,0,,0.3,32.8,1,1,0
2,2022-10-01T00:46:19.0000000,2022-10-01T01:20:08.0000000,N,5,130,265,1,10.59,50,0,0,10.06,0,,0.3,60.36,1,2,0
2,2022-09-30T23:55:42.0000000,2022-10-01T00:02:05.0000000,N,1,179,223,5,1.08,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2022-10-01T00:11:03.0000000,2022-10-01T00:11:08.0000000,N,5,179,179,2,0,84,0,0,0,0,,0.3,84.3,2,2,0
2,2022-10-01T00:51:55.0000000,2022-10-01T01:01:48.0000000,N,1,260,129,1,1.54,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,0
2,2022-10-01T00:52:12.0000000,2022-10-01T01:08:16.0000000,N,1,95,82,1,3.09,13,0.5,0.5,1,0,,0.3,15.3,1,1,0
2,2022-10-01T00:39:07.0000000,2022-10-01T00:39:12.0000000,N,5,80,80,2,0.49,45,0,0,0,0,,0.3,45.3,1,2,0
2,2022-10-01T00:28:10.0000000,2022-10-01T00:43:53.0000000,N,5,247,179,1,5.68,50,0,0,11.37,6.55,,0.3,68.22,1,2,0
2,2022-10-01T00:29:45.0000000,2022-10-01T01:13:08.0000000,N,1,66,50,1,7.5,31,0.5,0.5,2,0,,0.3,37.05,1,1,2.75
2,2022-10-01T00:31:03.0000000,2022-10-01T00:38:54.0000000,N,5,82,129,1,1.01,15,0,0,3.82,0,,0.3,19.12,1,2,0
2,2022-10-01T00:05:13.0000000,2022-10-01T00:13:35.0000000,N,1,130,10,1,1.76,8,0.5,0.5,2.32,0,,0.3,11.62,1,1,0
2,2022-10-01T00:32:22.0000000,2022-10-01T00:49:03.0000000,N,1,130,205,1,3.68,14,0.5,0.5,4.59,0,,0.3,19.89,1,1,0
2,2022-10-01T00:09:30.0000000,2022-10-01T00:39:39.0000000,N,1,66,262,1,8.94,28.5,0.5,0.5,6.51,0,,0.3,39.06,1,1,2.75
2,2022-10-01T00:07:17.0000000,2022-10-01T00:08:39.0000000,N,1,82,82,1,0.06,3,0.5,0.5,0,0,,0.3,4.3,2,1,0
2,2022-10-01T00:29:48.0000000,2022-10-01T00:31:10.0000000,N,1,198,198,1,0,2.5,0.5,0.5,36.2,0,,0.3,40,1,1,0
2,2022-10-01T00:50:01.0000000,2022-10-01T01:02:44.0000000,N,1,181,188,1,2.69,11.5,0.5,0.5,3.2,0,,0.3,16,1,1,0
2,2022-10-01T00:41:10.0000000,2022-10-01T01:05:27.0000000,N,1,82,166,1,7.55,25.5,0.5,0.5,4,6.55,,0.3,37.35,1,1,0
2,2022-10-01T00:16:35.0000000,2022-10-01T00:21:38.0000000,N,1,65,40,1,0.95,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2022-10-01T00:30:37.0000000,2022-10-01T00:54:53.0000000,N,1,25,198,1,8.48,26,0.5,0.5,8.19,0,,0.3,35.49,1,1,0
2,2022-10-01T00:06:13.0000000,2022-10-01T00:15:39.0000000,N,1,7,202,1,1.99,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2022-10-01T00:25:01.0000000,2022-10-01T00:39:37.0000000,N,1,82,7,2,1.91,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
2,2022-10-01T00:41:40.0000000,2022-10-01T00:45:19.0000000,N,5,7,7,1,0,15,0,0,0,0,,0.3,15.3,1,2,0
2,2022-10-01T00:34:56.0000000,2022-10-01T00:45:09.0000000,N,1,129,157,2,1.83,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2022-10-01T00:59:09.0000000,2022-10-01T01:09:30.0000000,N,1,82,129,2,1.91,9,0.5,0.5,3.09,0,,0.3,13.39,1,1,0
2,2022-09-30T23:35:27.0000000,2022-09-30T23:47:10.0000000,N,1,52,181,5,2.17,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,0
2,2022-09-30T23:53:56.0000000,2022-10-01T00:01:13.0000000,N,1,181,25,5,1.23,7,0.5,0.5,0,0,,0.3,8.3,1,1,0
2,2022-10-01T00:06:39.0000000,2022-10-01T00:21:20.0000000,N,1,25,133,5,4.03,14.5,0.5,0.5,0,0,,0.3,15.8,2,1,0
2,2022-10-01T00:47:25.0000000,2022-10-01T00:56:48.0000000,N,1,75,262,1,0,7,0.5,0.5,2.21,0,,0.3,13.26,1,1,2.75
2,2022-10-01T00:20:08.0000000,2022-10-02T00:00:00.0000000,N,1,66,249,1,3.22,12.5,0.5,0.5,1.66,0,,0.3,18.21,1,1,2.75
2,2022-10-01T00:38:39.0000000,2022-10-01T00:56:46.0000000,N,1,179,140,1,3.91,15.5,0.5,0.5,2,0,,0.3,21.55,1,1,2.75
2,2022-10-01T00:04:40.0000000,2022-10-01T00:20:27.0000000,N,1,244,142,1,5.85,19,0.5,0.5,4.61,0,,0.3,27.66,1,1,2.75
2,2022-10-01T00:28:57.0000000,2022-10-01T00:42:52.0000000,N,1,24,262,1,2.99,12.5,0.5,0.5,3.31,0,,0.3,19.86,1,1,2.75
2,2022-10-01T00:28:04.0000000,2022-10-01T00:34:14.0000000,N,1,74,263,1,1.77,7,0.5,0.5,2.76,0,,0.3,13.81,1,1,2.75
2,2022-10-01T00:53:06.0000000,2022-10-01T00:53:11.0000000,N,5,53,53,1,0,15,0,0,0,0,,0.3,15.3,1,2,0
2,2022-09-30T23:55:19.0000000,2022-10-01T00:02:40.0000000,N,1,74,263,1,2.05,8,0.5,0.5,2.41,0,,0.3,14.46,1,1,2.75
2,2022-10-01T00:08:20.0000000,2022-10-01T00:21:05.0000000,N,1,75,166,1,2.02,11,0.5,0.5,0,0,,0.3,12.3,1,1,0
1,2022-10-01T00:04:03.0000000,2022-10-01T00:21:26.0000000,N,1,52,211,1,4.1,15.5,3.25,0.5,3,0,,0.3,22.55,1,1,2.75
2,2022-10-01T00:22:23.0000000,2022-10-01T00:22:27.0000000,N,5,42,42,1,0,20,0,0,4.8,0,,0.3,25.1,1,2,0
2,2022-10-01T00:10:07.0000000,2022-10-01T00:19:19.0000000,N,5,167,69,1,1.06,9,0,0,0,0,,0.3,9.3,2,2,0
2,2022-10-01T00:19:32.0000000,2022-10-01T00:27:44.0000000,N,1,69,235,1,1.84,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2022-10-01T01:01:10.0000000,2022-10-01T01:39:03.0000000,N,5,42,254,1,8.06,20,0,0,0,0,,0.3,20.3,2,2,0
2,2022-10-01T02:06:01.0000000,2022-10-01T02:23:45.0000000,N,1,80,144,1,4.02,15.5,0.5,0.5,3.91,0,,0.3,23.46,1,1,2.75
1,2022-10-01T01:29:04.0000000,2022-10-01T01:52:26.0000000,Y,1,119,68,1,0,29.2,0,0.5,0,0,,0.3,30,1,1,0
2,2022-10-01T01:43:24.0000000,2022-10-01T01:43:26.0000000,N,5,197,264,1,0,10,0,0,1,0,,0.3,11.3,1,2,0
2,2022-10-01T01:41:35.0000000,2022-10-01T02:24:44.0000000,N,1,82,106,1,14.85,47.5,0.5,0.5,0,0,,0.3,48.8,2,1,0
2,2022-10-01T01:23:20.0000000,2022-10-01T01:50:59.0000000,N,1,66,177,1,6.27,22.5,0.5,0.5,4.76,0,,0.3,28.56,1,1,0
2,2022-10-01T01:06:59.0000000,2022-10-01T01:18:53.0000000,N,1,112,255,1,2.05,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,0
2,2022-10-01T01:47:38.0000000,2022-10-01T02:00:04.0000000,N,1,92,129,1,3.43,13,0.5,0.5,0,0,,0.3,14.3,1,1,0
2,2022-10-01T01:47:28.0000000,2022-10-01T01:52:46.0000000,N,1,83,260,1,0.74,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2022-10-01T01:10:42.0000000,2022-10-01T01:24:32.0000000,N,1,74,238,1,2.98,12.5,0.5,0.5,3.31,0,,0.3,19.86,1,1,2.75
2,2022-10-01T01:41:36.0000000,2022-10-01T01:50:56.0000000,N,1,42,168,1,1.88,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2022-10-01T01:29:26.0000000,2022-10-01T01:46:53.0000000,N,1,112,87,1,0.21,11,0.5,0.5,10,0,,0.3,25.05,1,1,2.75
2,2022-10-01T01:42:40.0000000,2022-10-01T01:47:23.0000000,N,1,41,74,1,0.81,5.5,0.5,0.5,1.7,0,,0.3,8.5,1,1,0
1,2022-10-01T01:20:22.0000000,2022-10-01T01:25:58.0000000,N,1,41,41,1,0.9,5.5,0.5,0.5,1.35,0,,0.3,8.15,1,1,0
1,2022-10-01T01:35:48.0000000,2022-10-01T01:45:06.0000000,N,1,41,41,1,1.5,8,0.5,0.5,0,0,,0.3,9.3,3,1,0
2,2022-10-01T01:11:30.0000000,2022-10-01T01:44:47.0000000,N,4,95,265,1,23.28,81.5,0.5,0.5,0,6.55,,0.3,89.35,1,1,0
2,2022-10-01T01:15:33.0000000,2022-10-01T01:26:49.0000000,N,1,247,126,2,2.25,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,2022-10-01T01:56:28.0000000,2022-10-01T02:11:36.0000000,N,1,41,159,2,3.04,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
2,2022-10-01T00:12:10.0000000,2022-10-01T00:18:37.0000000,N,1,80,256,1,1.08,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1,0
2,2022-10-01T00:19:52.0000000,2022-10-01T00:20:58.0000000,N,1,256,256,1,0.07,3,0.5,0.5,0,0,,0.3,4.3,2,1,0
2,2022-10-01T00:48:49.0000000,2022-10-01T01:11:17.0000000,N,1,36,148,1,4.34,18.5,0.5,0.5,2.51,0,,0.3,25.06,1,1,2.75
2,2022-10-01T01:21:24.0000000,2022-10-01T01:21:52.0000000,N,5,80,80,1,0.13,100,0,0,0,0,,0.3,100.3,1,2,0
2,2022-10-01T01:43:35.0000000,2022-10-01T01:48:48.0000000,N,1,7,193,1,0.95,5.5,0.5,0.5,2.04,0,,0.3,8.84,1,1,0
2,2022-10-01T01:27:00.0000000,2022-10-01T01:27:05.0000000,N,5,41,41,1,0.41,55,0,0,0.88,0,,0.3,56.18,1,2,0
2,2022-10-01T01:23:57.0000000,2022-10-01T01:27:41.0000000,N,1,223,223,1,1.16,5.5,0.5,0.5,0,0,,0.3,6.8,1,1,0
2,2022-10-01T01:49:52.0000000,2022-10-01T01:54:59.0000000,N,1,179,7,2,0.63,5,0.5,0.5,1.5,0,,0.3,7.8,1,1,0
2,2022-10-01T01:28:48.0000000,2022-10-01T01:40:56.0000000,N,1,260,82,1,1.26,9,0.5,0.5,3.09,0,,0.3,13.39,1,1,0
2,2022-10-01T02:00:23.0000000,2022-10-01T02:34:29.0000000,N,1,129,216,1,11.2,36,0.5,0.5,0,0,,0.3,37.3,2,1,0
2,2022-10-01T01:01:18.0000000,2022-10-01T01:09:48.0000000,N,1,129,129,5,1.02,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2022-10-01T01:17:58.0000000,2022-10-01T01:39:34.0000000,N,1,36,145,5,3.75,16.5,0.5,0.5,3.56,0,,0.3,21.36,1,1,0
2,2022-10-01T01:31:40.0000000,2022-10-01T01:31:54.0000000,N,5,80,80,2,1.45,65,0,0,14.37,6.55,,0.3,86.22,1,2,0
2,2022-10-01T01:47:30.0000000,2022-10-01T01:55:06.0000000,N,1,80,112,1,1.82,8,0.5,0.5,2.32,0,,0.3,11.62,1,1,0
2,2022-10-01T01:13:54.0000000,2022-10-01T01:30:56.0000000,N,1,247,151,1,3.58,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1,0
2,2022-10-01T01:08:31.0000000,2022-10-01T01:25:34.0000000,N,1,130,38,1,4.84,16,0.5,0.5,5,0,,0.3,22.3,1,1,0
2,2022-10-01T01:37:30.0000000,2022-10-01T01:59:07.0000000,N,5,80,79,5,5.19,60,0,0,12.61,0,,0.3,75.66,1,2,2.75
2,2022-10-01T01:13:57.0000000,2022-10-01T01:23:37.0000000,N,1,82,196,1,2.16,9.5,0.5,0.5,10,0,,0.3,20.8,1,1,0
2,2022-10-01T01:13:57.0000000,2022-10-01T01:31:52.0000000,N,1,82,82,1,0,2.5,0.5,0.5,4,0,,0,7.5,1,1,0
2,2022-10-01T01:31:33.0000000,2022-10-01T01:42:19.0000000,N,1,25,181,1,2.18,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1,0
2,2022-10-01T01:21:46.0000000,2022-10-01T01:42:35.0000000,N,5,126,74,1,4.68,20,0,0,3,0,,0.3,23.3,1,2,0
